task_id,asset_id,asset_type,corridor_id,location_km,signal_type,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,reported_date,due_date,overdue_days,estimated_duration_min,required_team_size,maintenance_type,possession_required,status
SMMS000001,AST006154,Level Crossing Signal,C00074,2.1,LC Gate Signal,Signal failure,Medium,2,3,1,2025-06-01,2025-06-24,7,118,2,Preventive,Yes,In Progress
SMMS000002,AST008318,Axle Counter,C00047,32.7,Axle Counter,Axle counter fault,Low,3,2,1,2025-03-31,2025-05-12,50,143,3,Corrective,Yes,Open
SMMS000003,AST007290,Point Machine,C00014,15.6,Electric Point Machine,Point machine fault,High,1,4,3,2025-06-28,2025-07-05,0,136,4,Corrective,Yes,Open
SMMS000004,AST007692,Optical Fiber,C00014,102.2,OFC Link,Cable fault,Critical,3,4,3,2025-06-18,2025-06-21,10,207,2,Corrective,Yes,Scheduled
SMMS000005,AST005948,Axle Counter,C00095,82.1,Axle Counter,Axle counter fault,Medium,4,2,2,2025-05-18,2025-06-06,25,108,3,Corrective,No,Open
SMMS000006,AST007793,Track Circuit,C00098,2.5,Track Circuit,Track circuit fault,Medium,2,2,2,2025-06-15,2025-06-27,4,135,3,Corrective,Yes,Open
SMMS000007,AST006037,Signal,C00031,2.7,Colour Light Signal,Signal failure,Low,3,2,1,2025-04-12,2025-05-15,0,91,4,Corrective,No,Completed
SMMS000008,AST005404,Track Circuit,C00012,25.5,Track Circuit,Track circuit fault,High,3,3,3,2025-03-26,2025-04-03,89,156,4,Corrective,Yes,Scheduled
SMMS000009,AST007074,Point Machine,C00033,51.0,Electric Point Machine,Point machine fault,High,4,4,2,2025-06-17,2025-06-27,0,180,3,Corrective,Yes,Completed
SMMS000010,AST005439,Track Circuit,C00009,70.6,Track Circuit,Track circuit fault,Low,2,1,1,2025-05-31,2025-07-09,0,54,2,Corrective,No,Scheduled
SMMS000011,AST008222,Interlocking,C00034,17.2,Route Relay Interlocking,Interlocking inspection,High,3,3,3,2025-05-27,2025-06-06,25,172,4,Inspection,Yes,Open
SMMS000012,AST006672,Interlocking,C00026,194.7,Route Relay Interlocking,Interlocking inspection,Low,3,1,2,2025-06-12,2025-07-12,0,237,4,Inspection,Yes,Open
SMMS000013,AST007260,Track Circuit,C00005,76.2,Track Circuit,Track circuit fault,Medium,3,3,1,2025-03-06,2025-03-25,98,99,2,Corrective,No,Open
SMMS000014,AST007999,Level Crossing Signal,C00013,25.0,LC Gate Signal,Signal failure,Low,2,2,1,2025-06-24,2025-08-05,0,81,3,Inspection,No,Completed
SMMS000015,AST008532,Level Crossing Signal,C00096,106.0,LC Gate Signal,Signal failure,Critical,5,4,4,2025-06-10,2025-06-14,17,142,3,Preventive,No,Open
SMMS000016,AST008014,Axle Counter,C00032,3.2,Axle Counter,Axle counter fault,High,3,3,2,2025-06-29,2025-07-08,0,83,3,Corrective,No,Open
SMMS000017,AST005417,Level Crossing Signal,C00034,15.4,LC Gate Signal,Signal failure,Medium,3,3,2,2025-06-24,2025-07-09,0,122,3,Corrective,No,Completed
SMMS000018,AST005556,Interlocking,C00082,108.4,Route Relay Interlocking,Interlocking inspection,Low,3,1,2,2025-05-12,2025-06-18,13,246,4,Inspection,No,Open
SMMS000019,AST007449,Relay,C00088,85.4,Relay Interlocking,Relay degradation,High,4,4,5,2025-06-20,2025-06-30,1,117,2,Corrective,No,Open
SMMS000020,AST006522,Track Circuit,C00100,4.2,Track Circuit,Track circuit fault,Low,3,1,1,2025-03-05,2025-04-05,87,57,2,Preventive,Yes,Open
SMMS000021,AST006793,Signal,C00064,102.5,Colour Light Signal,Signal lamp/equipment replacement,Low,3,2,1,2025-05-25,2025-06-20,11,97,3,Preventive,No,Open
