corridor_id,corridor_name,zone,division,start_station_code,start_station_name,end_station_code,end_station_name,distance_km,track_type,electrified,traffic_density,corridor_criticality,maximum_speed_kmph,operational_status
COR-001,New Delhi - Kanpur Central Main Section (1),Northern Railway,Delhi,NDLS,New Delhi,CNB,Kanpur Central,316.6,Double Line,Yes,Very High,High,110,Operational
COR-002,Howrah - Kharagpur Main Section (2),Eastern Railway,Howrah,HWH,Howrah,KGP,Kharagpur,330.4,Single Line High Density,Yes,Extreme,Critical,110,Operational
COR-003,Mumbai CSMT - Pune Jn Main Section (3),Central Railway,Mumbai,CSMT,Mumbai CSMT,PUNE,Pune Jn,160.9,Single Line High Density,Yes,Very High,Low,110,Speed Restriction
COR-004,Chennai Central - Vijayawada Main Section (4),Southern Railway,Chennai,MAS,Chennai Central,BZA,Vijayawada,298.0,Double Line,Yes,Extreme,Medium,130,Heavy Traffic
COR-005,Bengaluru City - Mysuru Jn Main Section (5),South Western Railway,Bengaluru,SBC,Bengaluru City,MYS,Mysuru Jn,159.7,Multiple Lines (3+),Yes,High,Low,110,Maintenance Block Active
COR-006,Secunderabad - Kazipet Jn Main Section (6),South Central Railway,Secunderabad,SC,Secunderabad,KZJ,Kazipet Jn,393.6,Single Line High Density,Yes,High,Low,160,Operational
COR-007,Prayagraj Jn - Pt. DD Upadhyaya Jn Main Section (7),North Central Railway,Prayagraj,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,440.1,Multiple Lines (3+),Yes,Medium,Medium,160,Heavy Traffic
COR-008,Lucknow Charbagh - Bareilly Jn Main Section (8),Northern Railway,Lucknow,LKO,Lucknow Charbagh,BE,Bareilly Jn,340.7,Double Line,Yes,Medium,Critical,110,Operational
COR-009,Ahmedabad Jn - Vadodara Jn Main Section (9),Western Railway,Vadodara,ADI,Ahmedabad Jn,BRC,Vadodara Jn,220.6,Multiple Lines (3+),Yes,Very High,Medium,130,Heavy Traffic
COR-010,Nagpur Jn - Balharshah Main Section (10),Central Railway,Nagpur,NGP,Nagpur Jn,BPQ,Balharshah,328.0,Single Line High Density,Yes,Very High,High,110,Speed Restriction
COR-011,New Delhi - Kanpur Central Main Section (11),Northern Railway,Delhi,NDLS,New Delhi,CNB,Kanpur Central,220.4,Single Line High Density,Yes,Medium,Critical,110,Operational
COR-012,Howrah - Kharagpur Main Section (12),Eastern Railway,Howrah,HWH,Howrah,KGP,Kharagpur,377.9,Multiple Lines (3+),Yes,High,High,160,Maintenance Block Active
COR-013,Mumbai CSMT - Pune Jn Main Section (13),Central Railway,Mumbai,CSMT,Mumbai CSMT,PUNE,Pune Jn,158.7,Multiple Lines (3+),No,Extreme,High,130,Heavy Traffic
COR-014,Chennai Central - Vijayawada Main Section (14),Southern Railway,Chennai,MAS,Chennai Central,BZA,Vijayawada,171.3,Single Line High Density,Yes,Extreme,Low,130,Heavy Traffic
COR-015,Bengaluru City - Mysuru Jn Main Section (15),South Western Railway,Bengaluru,SBC,Bengaluru City,MYS,Mysuru Jn,449.0,Double Line,No,High,Critical,110,Heavy Traffic
COR-016,Secunderabad - Kazipet Jn Main Section (16),South Central Railway,Secunderabad,SC,Secunderabad,KZJ,Kazipet Jn,312.2,Single Line High Density,No,High,Low,130,Speed Restriction
COR-017,Prayagraj Jn - Pt. DD Upadhyaya Jn Main Section (17),North Central Railway,Prayagraj,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,275.8,Single Line High Density,Yes,High,Medium,160,Maintenance Block Active
COR-018,Lucknow Charbagh - Bareilly Jn Main Section (18),Northern Railway,Lucknow,LKO,Lucknow Charbagh,BE,Bareilly Jn,121.3,Multiple Lines (3+),Yes,Extreme,Critical,160,Maintenance Block Active
COR-019,Ahmedabad Jn - Vadodara Jn Main Section (19),Western Railway,Vadodara,ADI,Ahmedabad Jn,BRC,Vadodara Jn,439.6,Double Line,Yes,Medium,High,110,Maintenance Block Active
COR-020,Nagpur Jn - Balharshah Main Section (20),Central Railway,Nagpur,NGP,Nagpur Jn,BPQ,Balharshah,362.1,Single Line High Density,Yes,Medium,Low,110,Operational
COR-021,New Delhi - Kanpur Central Main Section (21),Northern Railway,Delhi,NDLS,New Delhi,CNB,Kanpur Central,423.8,Multiple Lines (3+),Yes,High,High,160,Operational
COR-022,Howrah - Kharagpur Main Section (22),Eastern Railway,Howrah,HWH,Howrah,KGP,Kharagpur,111.7,Multiple Lines (3+),Yes,Very High,High,160,Speed Restriction
COR-023,Mumbai CSMT - Pune Jn Main Section (23),Central Railway,Mumbai,CSMT,Mumbai CSMT,PUNE,Pune Jn,430.3,Double Line,Yes,Extreme,High,160,Heavy Traffic
COR-024,Chennai Central - Vijayawada Main Section (24),Southern Railway,Chennai,MAS,Chennai Central,BZA,Vijayawada,343.8,Multiple Lines (3+),Yes,Extreme,Low,110,Heavy Traffic
COR-025,Bengaluru City - Mysuru Jn Main Section (25),South Western Railway,Bengaluru,SBC,Bengaluru City,MYS,Mysuru Jn,163.1,Multiple Lines (3+),Yes,Very High,High,110,Operational
COR-026,Secunderabad - Kazipet Jn Main Section (26),South Central Railway,Secunderabad,SC,Secunderabad,KZJ,Kazipet Jn,341.9,Double Line,Yes,High,Critical,130,Operational
COR-027,Prayagraj Jn - Pt. DD Upadhyaya Jn Main Section (27),North Central Railway,Prayagraj,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,270.2,Multiple Lines (3+),No,Very High,High,160,Speed Restriction
COR-028,Lucknow Charbagh - Bareilly Jn Main Section (28),Northern Railway,Lucknow,LKO,Lucknow Charbagh,BE,Bareilly Jn,169.9,Multiple Lines (3+),No,Very High,Critical,110,Speed Restriction
COR-029,Ahmedabad Jn - Vadodara Jn Main Section (29),Western Railway,Vadodara,ADI,Ahmedabad Jn,BRC,Vadodara Jn,211.1,Multiple Lines (3+),No,High,Critical,110,Speed Restriction
COR-030,Nagpur Jn - Balharshah Main Section (30),Central Railway,Nagpur,NGP,Nagpur Jn,BPQ,Balharshah,349.4,Double Line,Yes,Very High,High,160,Speed Restriction
COR-031,New Delhi - Kanpur Central Main Section (31),Northern Railway,Delhi,NDLS,New Delhi,CNB,Kanpur Central,131.9,Double Line,Yes,Extreme,High,110,Speed Restriction
COR-032,Howrah - Kharagpur Main Section (32),Eastern Railway,Howrah,HWH,Howrah,KGP,Kharagpur,379.0,Single Line High Density,Yes,High,Critical,110,Heavy Traffic
COR-033,Mumbai CSMT - Pune Jn Main Section (33),Central Railway,Mumbai,CSMT,Mumbai CSMT,PUNE,Pune Jn,141.5,Multiple Lines (3+),No,Very High,Low,110,Heavy Traffic
COR-034,Chennai Central - Vijayawada Main Section (34),Southern Railway,Chennai,MAS,Chennai Central,BZA,Vijayawada,220.2,Multiple Lines (3+),Yes,Extreme,Medium,130,Speed Restriction
