task_id,department,asset_id,asset_type,corridor_id,location_km,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,overdue_days,estimated_duration_min,required_team_size,possession_required,maintenance_type,status,urgency_score,risk_score,asset_downtime_risk,maintenance_priority_score
TSK-00001,Operating,AST-00001,Level Crossing Gate,COR-044,79.1,Bridge expansion joint inspection & bolt tightening,Minor,4,3,2,35,360,5,Yes,Breakdown,Scheduled,66.6,86.1,Low,76.3
TSK-00002,Signal & Telecom,AST-00002,Track Circuit,COR-073,398.7,"Track tamping, ballast packing & alignment check",Moderate,2,5,3,41,120,4,No,Emergency,In Progress,88.7,21.1,Medium,54.9
TSK-00003,Operating,AST-00003,Bridge Span,COR-057,126.3,Rail flaw ultrasonics check required,Minor,4,1,2,32,120,5,Yes,Preventive,Scheduled,93.8,35.8,High,64.8
TSK-00004,Electrical,AST-00004,OHE Catenary,COR-085,35.9,"Track tamping, ballast packing & alignment check",Major,5,2,1,32,180,9,Yes,Corrective,In Progress,93.6,38.9,High,66.2
TSK-00005,Signal & Telecom,AST-00005,Point & Crossing,COR-037,297.5,"Track tamping, ballast packing & alignment check",Moderate,4,2,1,28,60,6,No,Preventive,Pending,84.4,47.5,High,66.0
TSK-00006,Signal & Telecom,AST-00006,Signal - Multi Aspect,COR-083,64.3,Level crossing gate motor overhaul & interlock test,Moderate,2,3,4,2,60,10,No,Corrective,Scheduled,39.4,86.4,Low,62.9
TSK-00007,Engineering,AST-00007,Level Crossing Gate,COR-060,289.9,Point machine lubrication & locking calibration,Moderate,3,5,3,39,120,9,No,Emergency,Scheduled,67.3,23.5,Low,45.4
TSK-00008,Electrical,AST-00008,Axle Counter,COR-004,40.2,Axle counter digital sensor reset test,Critical,5,1,2,37,360,9,No,Preventive,Pending,64.6,95.8,Medium,80.2
TSK-00009,Electrical,AST-00009,Level Crossing Gate,COR-024,418.7,Multi-aspect LED signal bulb replacement & relay test,Major,4,2,5,40,240,8,Yes,Corrective,Scheduled,89.4,71.4,Low,80.4
TSK-00010,Operating,AST-00010,Axle Counter,COR-089,209.1,Rail flaw ultrasonics check required,Critical,4,2,5,2,60,12,No,Emergency,Scheduled,97.4,81.7,Low,89.6
TSK-00011,Operating,AST-00011,Signal - Multi Aspect,COR-066,346.8,OHE cantilever insulator cleaning & height adjustment,Moderate,5,2,3,38,60,11,Yes,Breakdown,In Progress,96.9,96.0,Medium,96.5
TSK-00012,Engineering,AST-00012,Level Crossing Gate,COR-027,113.6,Multi-aspect LED signal bulb replacement & relay test,Moderate,3,5,1,7,120,11,Yes,Breakdown,Scheduled,97.7,32.6,High,65.2
TSK-00013,Engineering,AST-00013,Interlocking Switch,COR-071,172.5,"Track tamping, ballast packing & alignment check",Minor,1,5,3,15,60,6,No,Preventive,Completed,54.8,45.7,High,50.2
TSK-00014,Operating,AST-00014,Interlocking Switch,COR-062,411.7,"Track tamping, ballast packing & alignment check",Minor,5,2,1,19,180,3,No,Preventive,In Progress,72.4,19.8,High,46.1
